OTUId	L87107IM00	N08354M600	L08239SN00	M04248CT00	N18747SN02	N15954SN00	L19198M600	L13716Y100
JUJ_17906	0	0	2	0	0	0	0	0
JUJ_7318	0	0	119	0	0	0	0	1
JUJ_41	0	0	0	1	0	0	0	0
JUJ_11674	0	0	0	0	3	0	0	0
JUJ_12867	0	163	71	47	0	7	0	1
JUJ_13898	0	0	0	0	0	0	0	0
JUJ_5090	0	0	0	0	0	0	0	0
JUJ_1835	0	1	0	24	0	0	0	0
JUJ_15420	0	692	611	2364	0	1	108	3
JUJ_10866	0	0	0	0	0	0	0	0
JUJ_23412	0	111	11	1	0	15	0	0
JUJ_6094	0	0	0	0	0	0	0	0
JUJ_9944	0	0	0	0	0	0	0	0
JUJ_13750	0	0	0	0	0	0	0	0
JUJ_12007	0	0	10	0	8	2	0	2
JUJ_21438	0	0	840	0	0	0	5	1
JUJ_1774	0	0	0	7	0	0	1	5
JUJ_1879	0	0	0	1	0	43	1	0
JUJ_12080	0	1	1669	0	2	0	0	0
JUJ_10719	0	1235	0	0	0	0	0	0
JUJ_13253	60	76	17	0	10	1	2	1
JUJ_12148	0	55	37	17	33	3	1	0
JUJ_903	0	0	0	28	0	0	0	0
JUJ_1726	0	0	0	0	0	0	1	0
JUJ_1216	0	242	0	56	0	56	1	1
JUJ_10045	42	13	78	41	1	0	15	1
JUJ_12469	0	1131	40	205	55	353	0	50
JUJ_5983	0	0	0	2	0	0	0	0
JUJ_12878	0	0	3	0	0	1	0	2
JUJ_1765	0	50	15	3	0	0	0	0
JUJ_13879	0	0	15	0	0	0	0	0
JUJ_18000	0	21	0	76	0	0	0	0
JUJ_12390	0	0	17	159	3	0	0	38
JUJ_1359	0	0	0	0	0	0	1	1
JUJ_12921	0	0	4	1	1	1	0	6
JUJ_1706	0	0	0	0	0	1	0	0
JUJ_1725	0	0	0	24	0	20	0	0
JUJ_323	0	0	0	0	0	0	0	0
JUJ_12652	0	584	43	1	38	216	1	3
JUJ_652	0	137	6	131	87	24	1	42
JUJ_13759	0	0	0	0	57	39	0	0
JUJ_15060	0	0	0	0	0	0	0	0
JUJ_16762	55	2	541	3	1	0	2348	2
JUJ_21547	0	2	453	10	1	20	0	4
JUJ_373	0	4	3	3	4	0	0	6
JUJ_586	0	1032	994	12	22	1	3	0
JUJ_8985	0	7	1	7	9	2	0	7
JUJ_905	0	0	10	63	101	2	0	0
JUJ_1154	0	2	5	0	35	0	0	0
JUJ_11223	0	3	0	0	0	0	0	0
JUJ_9500	0	0	0	0	0	0	0	0
JUJ_6757	0	0	0	0	0	0	0	0
JUJ_6069	0	1	0	1	13	13	0	0
JUJ_19492	0	0	0	0	0	0	0	0
JUJ_16913	0	251	85	826	9	6	2	28
JUJ_670	0	71	0	30	58	68	0	24
JUJ_838	0	0	0	29	161	240	4	2
JUJ_982	0	0	0	0	0	0	0	0
JUJ_12545	0	0	1875	34	1	0	4	1
JUJ_192	0	0	3	0	0	0	0	0
JUJ_22192	0	0	712	2	0	0	1	3
JUJ_15448	1	0	0	0	0	11	1	0
JUJ_1217	0	33	11	69	89	57	1	0
JUJ_16961	0	1	3	0	0	0	1	0
JUJ_15432	0	160	0	1	19	0	1	11
JUJ_23403	0	1	492	31	0	0	0	0
JUJ_7504	0	0	3	3	5	0	1	22
JUJ_4337	0	0	3	1	0	0	0	0
JUJ_917	0	0	2	0	0	0	0	0
JUJ_6774	0	1	3	0	0	0	0	0
JUJ_14323	0	0	7	0	0	0	0	0
JUJ_8818	0	0	43	0	0	0	15	0
JUJ_15365	0	6	0	0	6	0	0	26
